"District","area_acre_w_mean","days_sick_mean","food_cons_usd_mean","nonfood_cons_usd_mean","duration_mean","area_acre_w_sd","days_sick_sd","food_cons_usd_sd","nonfood_cons_usd_sd","duration_sd"
"Bagamoyo",1.68901095351219,10.0938416422287,1195983.14395319,290445.745123537,112.716514954486,1.36497123156395,8.19020165438892,818738.920951318,411185.311153489,34.7998780278798
"Chamwino",1.68914529321125,11.7418604651163,1004822.02574257,251728.422772277,104.637623762376,1.37735468320699,8.70490334908364,719207.528236147,444822.40252864,33.7158023436433
"Kibaha",1.60823741361773,10.3058035714286,534061.487603306,76092.3347107438,97.8946280991736,1.28880267430127,8.189543386297,526540.121709313,103526.456612014,25.5585078003278
